VENDOR_ID,PICKUP_DATETIME,DROPOFF_DATETIME,PASSENGER_COUNT,TRIP_DISTANCE,PICKUP_LOCATION_ID,DROPOFF_LOCATION_ID,FARE_AMOUNT,TIP_AMOUNT,TOTAL_AMOUNT
1,2024-01-15 08:30:00,2024-01-15 08:45:00,2,3.5,142,236,15.50,3.00,21.30
2,2024-01-15 09:00:00,2024-01-15 09:25:00,1,5.2,161,170,22.00,4.50,29.80
1,2024-01-15 10:15:00,2024-01-15 10:35:00,3,2.8,234,141,12.00,2.40,17.20
2,2024-01-15 11:00:00,2024-01-15 11:45:00,1,8.7,138,264,35.00,7.00,46.50
1,2024-01-15 12:30:00,2024-01-15 12:50:00,2,4.1,170,162,18.00,3.60,24.80
2,2024-01-15 14:00:00,2024-01-15 14:20:00,4,3.2,236,230,14.00,2.80,19.60
1,2024-01-15 15:30:00,2024-01-15 16:00:00,1,6.5,141,107,28.00,5.60,37.40
2,2024-01-15 17:00:00,2024-01-15 17:45:00,2,9.3,264,138,38.00,7.60,50.80
1,2024-01-15 18:30:00,2024-01-15 18:55:00,1,4.8,162,234,20.00,4.00,27.20
2,2024-01-15 20:00:00,2024-01-15 20:30:00,3,7.1,230,142,30.00,6.00,40.20
